Pieza,Material,Precio (USD)
Carcasa de la caja,Aluminio fundido,250
Engranaje principal,Acero templado,100
Engranaje secundario,Acero aleado,85
Eje de entrada,Acero forjado,120
Eje de salida,Acero forjado,110
Rodamientos,Bronce y acero,50
Sincronizador,Latón,40
Piñón de marcha atrás,Acero al carbono,60
Conjunto selector de cambios,Acero inoxidable,90
Anillo de sincronización,Latón,35
Retenes de aceite,Goma y acero,25
Tapa de inspección,Aluminio,30
Tornillos de fijación,Acero inoxidable,15
Barras de soporte,Acero estructural,45
Muelle del sincronizador,Acero de resorte,20
Cojinetes de agujas,Acero cementado,35
Aceite de transmisión (5L),Aceite sintético,60
Funda protectora,Plástico ABS,25
Engranaje helicoidal,Acero endurecido,95
Kit de sellado,Goma sintética,15
